0Stage Number,Topic,Iteration,Time Consumption,Number of Error,Behavior,Accuracy,
1,Syntax,1,0,0,ENGAGED,100.00%,
1,Syntax,2,1,0,ENGAGED,100.00%,
1,Syntax,3,2,5,NOT ENGAGED,100.00%,
1,Syntax,4,3,0,ENGAGED,99.99%,
2,Type Casting,1,0,1,ENGAGED,100.00%,
2,Type Casting,2,1,0,ENGAGED,100.00%,
2,Type Casting,3,2,1,ENGAGED,99.83%,
2,Type Casting,4,2,0,ENGAGED,100.00%,
2,Type Casting,5,3,2,NOT ENGAGED,88.30%,
2,Type Casting,6,4,1,ENGAGED,68.38%,
2,Type Casting,7,5,1,NOT ENGAGED,88.30%,
2,Type Casting,8,5,1,NOT ENGAGED,88.30%,
3,Operators,1,0,0,ENGAGED,100.00%,
3,Operators,2,1,1,ENGAGED,99.99%,
3,Operators,3,2,0,ENGAGED,100.00%,
4,Data Types,1,0,1,ENGAGED,100.00%,
4,Data Types,2,1,1,ENGAGED,99.99%,
4,Data Types,3,2,0,ENGAGED,100.00%,
4,Data Types,4,2,1,ENGAGED,99.83%,
4,Data Types,5,3,0,ENGAGED,99.99%,
