0Stage Number,Topic,Iteration,Movement,Time Consumption,Number of Attempts,Number of Block Interaction,Behavior,Accuracy,
1,Syntax,1,1,1,1,1,ENGAGED,95.60%,
1,Syntax,2,0,1,1,1,ENGAGED,99.67%,
1,Syntax,3,1,2,1,1,ENGAGED,62.42%,
2,Type Casting,1,1,1,1,1,ENGAGED,95.60%,
2,Type Casting,2,1,1,1,1,ENGAGED,95.60%,
2,Type Casting,3,1,2,1,1,ENGAGED,62.42%,
2,Type Casting,4,1,2,1,1,ENGAGED,62.42%,
2,Type Casting,5,1,2,1,1,ENGAGED,62.42%,
3,Operators,1,0,1,1,1,ENGAGED,99.67%,
3,Operators,2,1,1,1,1,ENGAGED,95.60%,
4,Data Types,1,0,1,1,1,ENGAGED,99.67%,
4,Data Types,2,1,1,1,2,ENGAGED,62.42%,
4,Data Types,3,0,2,1,1,ENGAGED,95.60%,
4,Data Types,4,0,2,1,1,ENGAGED,95.60%,
4,Data Types,5,1,2,1,1,ENGAGED,62.42%,
4,Data Types,6,1,3,1,1,NOT ENGAGED,89.00%,
4,Data Types,7,0,3,1,1,NOT ENGAGED,62.39%,
4,Data Types,8,0,3,1,1,NOT ENGAGED,62.39%,
4,Data Types,9,0,3,1,1,NOT ENGAGED,62.39%,
4,Data Types,10,1,3,1,1,NOT ENGAGED,89.00%,
4,Data Types,11,0,3,1,1,NOT ENGAGED,62.39%,
4,Data Types,12,1,3,2,1,NOT ENGAGED,99.09%,
4,Data Types,13,0,3,1,1,NOT ENGAGED,62.39%,
4,Data Types,14,0,3,1,1,NOT ENGAGED,62.39%,
